('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765336 function calls (741322 primitive calls) in 8.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      400    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
    67/50    0.000    0.000    0.472    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      232    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      163    0.000    0.000    0.001    0.000 enum.py:202(__get__)
      263    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      293    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      265    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
      281    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       23    0.000    0.000    0.001    0.000 _receivebuffer.py:104(maybe_extract_lines)
      114    0.000    0.000    0.001    0.000 _models.py:19(enforce_bytes)
  136/131    0.000    0.000    0.005    0.000 css_parser.py:375(_freeze_relations)
      296    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       81    0.000    0.000    0.006    0.000 <frozen abc>:105(__new__)
       59    0.000    0.000    0.002    0.000 _util.py:84(validate)
    42/30    0.000    0.000    0.062    0.002 css_parser.py:569(parse_pseudo_class)
      249    0.000    0.000    0.000    0.000 _virtualenv.py:53(find_spec)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      256    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      311    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       55    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
   132/99    0.000    0.000    0.032    0.000 typing.py:508(__getitem__)
        3    0.000    0.000    0.001    0.000 _headers.py:150(normalize_and_validate)
      112    0.000    0.000    0.001    0.000 dataclasses.py:857(_set_qualname)
      273    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      143    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      247    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      187    0.000    0.000    0.001    0.000 enum.py:467(<genexpr>)
       18    0.000    0.000    0.004    0.000 dataclasses.py:568(_init_fn)
       87    0.000    0.000    0.001    0.000 __init__.py:255(escape)
       77    0.000    0.000    0.003    0.000 css_types.py:267(__init__)
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       77    0.000    0.000    0.001    0.000 signal.py:9(<lambda>)
       34    0.000    0.000    0.003    0.000 ipaddress.py:2238(__init__)
      233    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       50    0.000    0.000    0.002    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      104    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
